alert_id	created_at	state	start_time	end_time	start_fuel	end_fuel	delta	duration_s	avg_rate	confidence
2026-07-15T08:03:55_Refuel_53.30_66.50	2026-07-15T08:04:30	Refuel	2026-07-15T08:03:55	2026-07-15T08:04:30	53.30	66.50	13.20	35	22.6286	0.9062
2026-07-15T08:06:50_Fuel Theft_56.70_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:06:50	2026-07-15T08:07:55	56.70	39.70	-17.00	65	-15.6923	0.9397
2026-07-18T10:37:40.294569_Refuel_50.53_50.53	2026-07-18T10:37:40.294569	Refuel	2026-07-18T10:37:40.294569	2026-07-18T10:37:40.294569	50.53	50.53	0.00	0	0.0000	0.6302
2026-07-18T10:37:40.294569_Refuel_50.53_50.98	2026-07-18T10:37:41.297046	Refuel	2026-07-18T10:37:40.294569	2026-07-18T10:37:41.297046	50.53	50.98	0.45	1	27.0000	0.6400
2026-07-18T10:37:40.294569_Refuel_50.53_51.43	2026-07-18T10:37:42.298399	Refuel	2026-07-18T10:37:40.294569	2026-07-18T10:37:42.298399	50.53	51.43	0.90	2	27.0000	0.6499
2026-07-18T10:37:40.294569_Refuel_50.53_51.88	2026-07-18T10:37:43.299977	Refuel	2026-07-18T10:37:40.294569	2026-07-18T10:37:43.299977	50.53	51.88	1.35	3	27.0000	0.6597
2026-07-18T10:37:40.294569_Refuel_50.53_52.33	2026-07-18T10:37:44.302917	Refuel	2026-07-18T10:37:40.294569	2026-07-18T10:37:44.302917	50.53	52.33	1.80	4	27.0000	0.6696
2026-07-18T10:37:40.294569_Refuel_50.53_52.78	2026-07-18T10:37:45.304483	Refuel	2026-07-18T10:37:40.294569	2026-07-18T10:37:45.304483	50.53	52.78	2.25	5	27.0000	0.6794
2026-07-18T10:37:40.294569_Refuel_50.53_53.23	2026-07-18T10:37:46.306091	Refuel	2026-07-18T10:37:40.294569	2026-07-18T10:37:46.306091	50.53	53.23	2.70	6	27.0000	0.6864
2026-07-18T10:37:40.294569_Refuel_50.53_53.68	2026-07-18T10:37:47.307793	Refuel	2026-07-18T10:37:40.294569	2026-07-18T10:37:47.307793	50.53	53.68	3.15	7	27.0000	0.6917
2026-07-18T10:37:40.294569_Refuel_50.53_54.13	2026-07-18T10:37:48.308829	Refuel	2026-07-18T10:37:40.294569	2026-07-18T10:37:48.308829	50.53	54.13	3.60	8	27.0000	0.6958
2026-07-18T10:37:40.294569_Refuel_50.53_54.59	2026-07-18T10:37:49.311595	Refuel	2026-07-18T10:37:40.294569	2026-07-18T10:37:49.311595	50.53	54.59	4.06	9	27.0667	0.6991
2026-07-15T08:08:00_Idle Start_39.70	2026-07-15T08:08:00	Idle Start	2026-07-15T08:08:00	2026-07-15T08:08:00	39.70	39.70	0.00	0	0.0000	0.7000
2026-07-15T08:06:50_Idle End_56.70	2026-07-15T08:06:50	Idle End	2026-07-15T08:06:50	2026-07-15T08:06:50	56.70	56.70	0.00	0	0.0000	0.8581
2026-07-15T08:06:40_Idle Start_61.70	2026-07-15T08:06:40	Idle Start	2026-07-15T08:06:40	2026-07-15T08:06:40	61.70	61.70	0.00	0	0.0000	0.7000
2026-07-15T08:03:55_Idle End_53.30	2026-07-15T08:03:55	Idle End	2026-07-15T08:03:55	2026-07-15T08:03:55	53.30	53.30	0.00	0	0.0000	0.7487
2026-07-15T08:03:45_Idle Start_49.50	2026-07-15T08:03:45	Idle Start	2026-07-15T08:03:45	2026-07-15T08:03:45	49.50	49.50	0.00	0	0.0000	0.7000
2026-07-15T08:01:15_Idle End_49.90	2026-07-15T08:01:15	Idle End	2026-07-15T08:01:15	2026-07-15T08:01:15	49.90	49.90	0.00	0	0.0000	0.9000
2026-07-15T08:00:00_Idle Start_50.00	2026-07-15T08:00:00	Idle Start	2026-07-15T08:00:00	2026-07-15T08:00:00	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-18T10:42:35.409759_Idle End_49.94	2026-07-18T10:42:35.409759	Idle End	2026-07-18T10:42:35.409759	2026-07-18T10:42:35.409759	49.94	49.94	0.00	0	0.0000	0.9000
2026-07-18T10:43:15.463849_Idle Start_47.71	2026-07-18T10:43:15.463849	Idle Start	2026-07-18T10:43:15.463849	2026-07-18T10:43:15.463849	47.71	47.71	0.00	0	0.0000	0.7000
2026-07-15T08:08:00_Idle_39.70_39.70	2026-07-15T08:08:15	Idle	2026-07-15T08:08:00	2026-07-15T08:08:15	39.70	39.70	0.00	15	0.0000	0.7000
2026-07-15T08:06:40_Idle_61.70_59.30	2026-07-15T08:06:45	Idle	2026-07-15T08:06:40	2026-07-15T08:06:45	61.70	59.30	-2.40	5	-28.8000	0.7000
2026-07-15T08:04:35_Driving_66.40_63.90	2026-07-15T08:06:35	Driving	2026-07-15T08:04:35	2026-07-15T08:06:35	66.40	63.90	-2.50	120	-1.2500	0.9000
2026-07-15T08:03:45_Idle_49.50_51.70	2026-07-15T08:03:50	Idle	2026-07-15T08:03:45	2026-07-15T08:03:50	49.50	51.70	2.20	5	26.4000	0.7000
2026-07-15T08:01:15_Driving_49.90_47.20	2026-07-15T08:03:40	Driving	2026-07-15T08:01:15	2026-07-15T08:03:40	49.90	47.20	-2.70	145	-1.1172	0.9000
2026-07-15T08:00:00_Idle_50.00_50.00	2026-07-15T08:01:10	Idle	2026-07-15T08:00:00	2026-07-15T08:01:10	50.00	50.00	0.00	70	0.0000	0.7000
2026-07-15T08:08:00_Idle_39.70_50.00	2026-07-18T13:21:53.195430	Idle	2026-07-15T08:08:00	2026-07-18T13:21:53.195430	39.70	50.00	10.30	278033	0.0022	0.7000
